time_SN_vis, pmt_vis,x_vis,y_vis,z_vis,event_vis
20938.5202649, 33.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5463042, 33.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5817677, 34.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5260163, 34.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.3016231, 35.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5421759, 36.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5436929, 36.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5429103, 37.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5522142, 38.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6451678, 38.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5315866, 39.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.3694045, 43.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5135718, 45.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.7549402, 45.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20941.2798578, 45.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.736752, 46.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.8955412, 47.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.395789, 47.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5284322, 49.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6192113, 50.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.7637482, 50.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5304094, 51.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5240042, 52.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6692585, 52.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5613209, 53.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.5029038, 53.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5576182, 53.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6224739, 54.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6014127, 54.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5561798, 54.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5581893, 55.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5459208, 55.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5608784, 57.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5544538, 57.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5315479, 58.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6607407, 58.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5652781, 58.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.3982789, 59.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.534537, 64.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5759621, 65.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5431714, 65.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.2241412, 67.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5796888, 67.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5215885, 68.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.535611, 68.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.7642736, 68.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5315064, 70.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6163708, 71.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5196652, 72.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5356997, 72.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5400586, 72.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.7258061, 75.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5330863, 75.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5708898, 75.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5465762, 77.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6106335, 82.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.847743, 84.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
